ts	phase	decision	why	evidence	result
2026-09-08T21:26:52.677811+00:00	frame	Target standalone XZ1.26 with upstream cache files and RAM boot	User confirmed firmware and allowed loading each boot	WORK.md; ../../../../docs/research/2026-09-08-cdj3k-mods-upstream.md	open
2026-09-08T22:22:51.174780+00:00	abi	Confirmed two internal engines and two output routes	Four native decks cannot be enabled by the existing selection gate	.tmp/xz-extra-abi/report.md	hybrid bridge implemented; hardware sync open
2026-09-08T22:22:51.174810+00:00	cache	Kept upstream cache identity and normalized residual mixing	Same stem files are a user requirement	audio/PROVENANCE.md; audio/tests/verify_upstream.py	oracle and decode tests pass
2026-09-08T22:22:51.174817+00:00	verification	Require active assertions in optimized C tests	Zig release builds otherwise remove assert checks	cue/verify.py; audio/tests/verify_runtime.py	disabled-assertion builds rejected
2026-09-08T22:22:51.174822+00:00	device	Compared running application to local stock binary	Hook addresses require exact firmware evidence	.tmp/xz-port-live/comparison.json	only existing waveform and deck selection patches differ
2026-09-08T22:22:51.174828+00:00	device	Tested isolated ARM processes without loading hooks into rbp	Preserve working DJ and VJ behavior	.tmp/xz-port-build/device-smoke.json	cue and mixer pass; combined dlopen crash under diagnosis
2026-09-08T22:22:51.174833+00:00	integration	Packaged proven VJ receiver separately from experimental DJ port	Other mods can add support without taking unfinished features	integration/README.md; .tmp/vjtools-xz-support-v1/manifest.json	host loader and bundle tests pass
2026-09-08T22:22:51.174838+00:00	touch	Preserve native contact release when panel takes ownership	Review found desktop press could lack matching release	vendor/tools/xz_runtime/xz_directfb_hook.c; ui/test_native_touch.c	regression tests pass
2026-09-08T23:19:16.402264+00:00	loader	Placed PLT relocation table directly after REL table	glibc 2.13 reapplies RELCOUNT to a separated eager range and leaves imports unresolved	xz-relocations.ld; artifacts/xdj-xz-mods/private-experimental-20260908/manifest.json	paired runtime and receiver loaded ten times on XZ
2026-09-08T23:19:16.402299+00:00	verification	Ran enabled source-hook fixtures with sanitizers	Disabled-only tests could not establish actual mixed samples or readiness bypass	audio/tests/test_runtime.c; audio/tests/verify_runtime.py	ASan and UBSan tests pass
2026-09-08T23:19:16.402306+00:00	device	Decoded matching real WAV and FLAC fixtures on XZ	Host decoder tests do not prove target execution	.tmp/xz-port-build/device-smoke-0f95f510db9a.json	samples match; memory/rate/cancel checks pass; rbp unchanged
2026-09-08T23:19:16.402312+00:00	integration	Use native MD5 integrity check while retaining package SHA256	Actual XZ lacks sha256sum and openssl; host-only loader passed incorrectly	integration/loader.sh.in; artifacts/xdj-xz-mods/support-device-verification.json	actual XZ staging and preload preservation pass
2026-09-08T23:19:16.402318+00:00	package	Built separate private observer and experimental images	Keep full application boot images separate from reusable support files	artifacts/xdj-xz-mods/private-observer-20260908/manifest.json; artifacts/xdj-xz-mods/private-experimental-20260908/manifest.json	encrypted contents round-trip verified; not deployed
2026-09-08T23:19:16.402324+00:00	coordination	Recorded intermediate code captured by concurrent commit	Commit fdc8364b included unfinished XZ work and must not imply release	.git/coordination/AGENT_INBOX.md	ownership retained; no full-port claim
2026-09-08T23:19:16.402329+00:00	hardware	Await operator availability before interrupting current XZ playback	Live hook acceptance needs restart and physical pad/touch actions	WORK.md	pending user reply; original rbp remains running
2026-09-09T00:44:42.294015+00:00	hardware	Activated experimental0f95 after explicit user approval	User selected stems as first live test	artifacts/xdj-xz-mods/live-stems-session.json	native UI and stem hooks installed; physical panel opens
2026-09-09T00:44:42.294059+00:00	stems	Validated compatible fixtures on physical XZ	Audible independent components make controls testable	artifacts/xdj-xz-mods/stems-hardware-checkpoint.json	vocal/drum removal and bypass user-confirmed
2026-09-09T00:44:42.294070+00:00	diagnosis	Restored previous v49-only runtime for fader comparison	Fader reportedly ignored on main outputs even in bypass	artifacts/xdj-xz-mods/fader-baseline-original-runtime.txt	PID1108 baseline; awaiting exact-control comparison
2026-09-09T01:07:48.724547+00:00	hardware	Resolved reported fader issue	User confirmed loud headphones caused the apparent failure	artifacts/xdj-xz-mods/stems-hardware-checkpoint.json	No mixer patch; working experimental build restored
2026-09-09T01:07:48.724568+00:00	controls	Map selected STEMS deck hot-cue pads A-D by default	Physical access to drum/harmonic/vocal mute and bypass	ui/stem_pads.c; ui/test_stem_pads.c	Host tests passed; physical test pending
2026-09-09T01:07:48.724575+00:00	ui	Investigate native play layout before inline strip	XZ uses different native drawing system than CDJ JUCE	../../../.tmp/xz-inline-research.md	Await stock screen geometry; full-screen panel remains interim
2026-09-09T01:12:03.684658+00:00	hardware	Loaded pad-test build 28289d9c6dd9	Exact image and paired isolated device tests passed	artifacts/xdj-xz-mods/live-pads-session.json	PID1757 library mapping verified; physical pad and stock-screen tests pending
2026-09-09T01:36:16.009096+00:00	native-ui	Captured normal USB display and proved play scene index2	Native framebuffer and property table match inspected firmware	artifacts/xdj-xz-mods/native-layout-play-index; ui/NATIVE_WAVE_ABI.md	536x268 draw seam grounded; browser and lock observer tests pending
2026-09-09T01:36:16.009123+00:00	native-ui	Prepared compact stems row and inverse waveform geometry	Preserve two native waves, cue bands, counters and Beat FX	ui/verify.py; ui/wave_viewport.c	Host controls/render/touch/compaction tests PASS; source ARM build PASS; not activated
2026-09-09T02:23:09.255430+00:00	pad-diagnosis	Corrected native UI channel mapping from2/3 to1/2	Live raw channel trace plus native constructors and corrected ARM carry arithmetic	cue/PAD_EVENT_ABI.md; artifacts/xdj-xz-mods/pad-decode-before.json; artifacts/xdj-xz-mods/pad-decode-after.json	Real ARM decoder test failed before and passed after; physical audio retest pending
2026-09-12T20:05:11.514814+00:00	user-constraint	Continue offline development only	User is using VJ.Tools and declined interruptions or hands-on tests	Conversation 2026-09-12	No further device calls, restarts or deployments during styling
2026-09-12T20:05:11.514835+00:00	native-style	Restyled actual C renderer to native XZ visual language	Captured native screen establishes typography, deck shape, outlines and accent references	ui/NATIVE_STYLE.md; artifacts/xdj-xz-mods/native-style-20260912/index.html	Local UI tests, preview assets, atlas reproducibility and ARM ABI build PASS; not deployed
